tick,servidor,tipo,mensagem,timestamp
56,Server-A,FAILOVER,Iniciando failover de 0 requisições,1765574674.280537
29,Server-C,FAILOVER,Iniciando failover de 0 requisições,1765574676.8808074
200,Server-A,FAILOVER,Iniciando failover de 0 requisições,1765574675.7252579
294,Server-A,FAILOVER,Iniciando failover de 0 requisições,1765574676.608032
158,Server-B,FAILOVER,Iniciando failover de 0 requisições,1765574676.8975108
200,Server-B,FAILOVER,Iniciando failover de 0 requisições,1765574677.178538
364,Server-A,FAILOVER,Iniciando failover de 0 requisições,1765574677.2084866
135,Server-C,FAILOVER,Iniciando failover de 0 requisições,1765574677.8948748
200,Server-C,FAILOVER,Iniciando failover de 0 requisições,1765574678.479737
500,Server-A,FAILOVER,Iniciando failover de 0 requisições,1765574678.8074107
359,Server-B,FAILOVER,Iniciando failover de 0 requisições,1765574678.8192482
271,Server-C,FAILOVER,Iniciando failover de 0 requisições,1765574679.1374323
565,Server-A,FAILOVER,Iniciando failover de 0 requisições,1765574679.5257845
486,Server-B,FAILOVER,Iniciando failover de 0 requisições,1765574680.1334002
543,Server-B,FAILOVER,Iniciando failover de 0 requisições,1765574680.606184
566,Server-B,FAILOVER,Iniciando failover de 0 requisições,1765574680.6850467
447,Server-C,FAILOVER,Iniciando failover de 0 requisições,1765574681.0634778
494,Server-C,FAILOVER,Iniciando failover de 0 requisições,1765574681.4282954
653,Server-B,FAILOVER,Iniciando failover de 0 requisições,1765574681.5116014
717,Server-B,FAILOVER,Iniciando failover de 0 requisições,1765574682.0660465
800,Server-A,FAILOVER,Iniciando failover de 0 requisições,1765574682.7849677
800,Server-B,FAILOVER,Iniciando failover de 0 requisições,1765574682.8691401
877,Server-B,FAILOVER,Iniciando failover de 0 requisições,1765574683.593421
719,Server-C,FAILOVER,Iniciando failover de 0 requisições,1765574683.9600594
931,Server-A,FAILOVER,Iniciando failover de 0 requisições,1765574684.4976091
800,Server-C,FAILOVER,Iniciando failover de 0 requisições,1765574684.7606905
872,Server-C,FAILOVER,Iniciando failover de 0 requisições,1765574685.431885
955,Server-C,FAILOVER,Iniciando failover de 0 requisições,1765574686.2512488
